Device details,,,,,CO2e data,,,,,,,,,,,,,,,,,,,,,,,,,Lifespan data,,,Weight data,,,Notes
ORDS Product Category,Family (as defined by CO2 source),order,model,model (grouped),Primary / CO2 Source (e.g. Manufacturer),Primary / CO2 source - external url,Primary / CO2 source - drive url,filename,Study name,Primary / CO2 Source date,CO2 Footprint (total) kg,,Total Embodied CO2 kg,Total Embodied CO2 % (as % of total footprint),CO2 Footprint (production) kg,CO2 Footprint (production) %,CO2 Footprint (transport) kg,CO2 Footprint (transport) %,CO2 Footprint (use) kg,CO2 Footprint (use) %,CO2 Footprint (EoL) kg,CO2 Footprint (EoL) %,DQI - Temporal representativeness,DQI - Technical representativeness,DQI - Reliability,DQI score - Temporal representativeness,DQI score - Technical representativeness,DQI score - Reliability,DQI score - TOTAL,Lifespan source - drive url,Lifespan source date,Lifespan (years),Weight source - drive url,Weight source date,Product Weight (kg),Notes
Aircon/Dehumidifier,Air Conditioner,31,LP150CED-Y8,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP150CED-Y8.pdf,https://drive.google.com/file/d/1N0HtFgvioh4DDsyzt7DbKana4MVZeOGw/view?usp=drivesdk,LP150CED-Y8.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,32,LP150CED1,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP150CED1.pdf,https://drive.google.com/file/d/1dlIzT0UPmhOdBwxdR54yA_ibKTjNtrcj/view?usp=drivesdk,LP150CED1.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,33,LP150HED-Y8,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP150HED-Y8.pdf,https://drive.google.com/file/d/1Z7XPUraI7bXrbaGBVpW3GThLaW5e0vza/view?usp=drivesdk,LP150HED-Y8.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,34,LP150HED1,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP150HED1.pdf,https://drive.google.com/file/d/1Tu46aeZaAcXhjNz0dQntAkfZaEIDAwdW/view?usp=drivesdk,LP150HED1.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,35,LP155CED1,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP155CED1.pdf,https://drive.google.com/file/d/1QY8VFXaAWCSso1pbs0sfNwoQ7gVcRghE/view?usp=drivesdk,LP155CED1.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,36,LP155HED1,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP155HED1.pdf,https://drive.google.com/file/d/1u6rFv2O3wdLLtkw9Fh8eHiPtntim69lE/view?usp=drivesdk,LP155HED1.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,37,LSN092CE,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LSN092CE.pdf,https://drive.google.com/file/d/19ZlMcc3T97JvVnrjA1hGt-D1mJTqThTJ/view?usp=drivesdk,LSN092CE.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,38,LSN092HE,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LSN092HE.pdf,https://drive.google.com/file/d/1PojlEd4jtj9MVY8wlQNAv3mnDHwJR-rP/view?usp=drivesdk,LSN092HE.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,39,LSN122CE,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LSN122CE.pdf,https://drive.google.com/file/d/1ZATAqvvdqPVshJkU0c4PjxGoJXQSzyvE/view?usp=drivesdk,LSN122CE.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,40,LSN122HE,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LSN122HE.pdf,https://drive.google.com/file/d/1AsHIGCSZXDCf-tphQ5LG4cjjNe07tazM/view?usp=drivesdk,LSN122HE.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
